Date,Model,Category,Region,City,Units Sold,Revenue
2023-01-01,Punch,Compact SUV,West,Mumbai,3,2185179
2023-01-01,Harrier,Premium SUV,South,Bangalore,1,2209570
2023-01-01,Curvv EV,Electric Coupe SUV,North,Jaipur,1,2009588
2023-01-01,Tigor,Sedan,West,Mumbai,1,649123
2023-01-01,Harrier,Premium SUV,South,Chennai,5,10656310
2023-01-01,Tiago,Hatchback,North,Jaipur,2,1681452
2023-01-01,Curvv EV,Electric Coupe SUV,North,Jaipur,4,7262296
2023-01-01,Tiago EV,Electric Hatchback,North,Lucknow,3,2410221
2023-01-01,Nexon,SUV,Central,Indore,4,4627112
2023-01-01,Safari,7-Seater SUV,South,Bangalore,2,4511778
2023-01-01,Punch,Compact SUV,North,Delhi,4,2602828
2023-01-01,Altroz,Premium Hatchback,South,Hyderabad,5,3943425
2023-01-01,Tiago,Hatchback,Central,Indore,4,3124548
2023-01-01,Punch,Compact SUV,West,Pune,1,889428
2023-01-01,Safari,7-Seater SUV,South,Kochi,5,11542015
2023-01-01,Punch EV,Electric Compact SUV,South,Chennai,1,1024025
2023-01-01,Curvv,Coupe SUV,South,Chennai,3,3251001
2023-01-01,Harrier,Premium SUV,North,Delhi,4,7165904
2023-01-01,Tiago EV,Electric Hatchback,South,Kochi,3,2655831
2023-01-01,Altroz,Premium Hatchback,South,Hyderabad,2,2002728
2023-01-01,Safari,7-Seater SUV,Central,Indore,1,1908903
2023-01-01,Nexon EV,Electric SUV,Central,Indore,2,2571338
2023-01-01,Tiago EV,Electric Hatchback,West,Pune,3,3276006
2023-01-01,Harrier,Premium SUV,South,Kochi,3,7151382
2023-01-01,Tiago,Hatchback,South,Chennai,1,665388
2023-01-01,Tigor,Sedan,East,Kolkata,1,710615
2023-01-01,Punch EV,Electric Compact SUV,Central,Indore,3,3334431
2023-01-01,Curvv,Coupe SUV,West,Ahmedabad,4,6696316
2023-01-01,Tiago EV,Electric Hatchback,South,Bangalore,3,2619618
2023-01-01,Harrier,Premium SUV,Central,Indore,5,10325790
2023-01-01,Safari,7-Seater SUV,Central,Indore,5,12242450
2023-01-01,Punch EV,Electric Compact SUV,West,Pune,3,3344961
2023-01-01,Nexon,SUV,North,Jaipur,4,3581300
2023-01-01,Tiago,Hatchback,North,Delhi,2,1657924
2023-01-01,Nexon,SUV,South,Kochi,4,5701520
2023-01-01,Punch,Compact SUV,West,Pune,4,3649668
2023-01-01,Tiago EV,Electric Hatchback,North,Jaipur,3,3270147
2023-01-01,Tiago,Hatchback,South,Kochi,1,781527
2023-01-01,Safari,7-Seater SUV,South,Kochi,3,5351823
2023-01-01,Safari,7-Seater SUV,West,Pune,2,5003054
2023-01-01,Tiago,Hatchback,Central,Indore,3,2287353
2023-01-01,Nexon,SUV,North,Jaipur,1,1455674
2023-01-01,Safari,7-Seater SUV,South,Kochi,5,9835730
2023-01-01,Nexon,SUV,South,Hyderabad,2,2731158
2023-01-01,Nexon EV,Electric SUV,West,Mumbai,5,6849755
2023-01-01,Tiago EV,Electric Hatchback,West,Mumbai,1,990306
2023-01-01,Safari,7-Seater SUV,South,Chennai,1,2055144
2023-01-01,Punch EV,Electric Compact SUV,North,Delhi,1,1383730
2023-01-01,Tiago EV,Electric Hatchback,North,Delhi,5,4329670
2023-01-01,Nexon,SUV,South,Kochi,4,5506040
2023-01-02,Safari,7-Seater SUV,North,Jaipur,5,12186920
2023-01-02,Harrier,Premium SUV,North,Jaipur,2,4495162
2023-01-02,Safari,7-Seater SUV,West,Pune,3,7406286
2023-01-02,Nexon EV,Electric SUV,West,Ahmedabad,1,1329973
2023-01-02,Harrier,Premium SUV,North,Delhi,3,4566168
2023-01-02,Punch EV,Electric Compact SUV,North,Jaipur,2,2617024
2023-01-02,Harrier,Premium SUV,West,Mumbai,1,2242225
2023-01-02,Curvv,Coupe SUV,West,Mumbai,2,2141348
2023-01-02,Tiago,Hatchback,South,Hyderabad,1,769565
2023-01-02,Harrier,Premium SUV,East,Kolkata,4,6898572
2023-01-02,Nexon EV,Electric SUV,South,Bangalore,5,7510500
2023-01-02,Tiago EV,Electric Hatchback,South,Chennai,4,4053664
2023-01-02,Harrier,Premium SUV,North,Delhi,1,2190993
2023-01-02,Tigor,Sedan,South,Hyderabad,4,3262140
2023-01-02,Tiago EV,Electric Hatchback,Central,Indore,1,851599
2023-01-02,Tiago,Hatchback,West,Pune,3,1671864
2023-01-02,Harrier,Premium SUV,South,Chennai,2,4124672
2023-01-02,Tiago EV,Electric Hatchback,South,Bangalore,4,3584800
2023-01-02,Safari,7-Seater SUV,West,Ahmedabad,2,3416186
2023-01-02,Tiago EV,Electric Hatchback,North,Jaipur,1,826522
